Ticker,Ad,Kategori,TEFAS_Kind,Tur,Risk_Deger,Son_Fiyat,RSI,Ret1M,Ret3M,Ret6M,Ret1Y,Ret3Y,Ret5Y,Vol,YF_Symbol,_tcmb_guncellendi
NPH,NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,1.62768,55.8,-0.783,6.2941,15.6777,36.2497,0.0,0.0,33.0,,
NRC,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,7.0,11.818762,57.6,2.0916,2.2734,21.2044,48.5604,191.8444,0.0,42.0,,
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,TEFAS,YAT,Para Piyasası Şemsiye Fonu,1.0,5.173093,59.8,3.1171,9.9176,20.9747,50.6215,2.6295,0.0,3.0,,
NSA,NEO PORTFÖY PARA PİYASASI KATILIM SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,2.0,2.365261,59.5,3.195,9.8103,20.7236,48.6871,0.0,0.0,7.0,,
NSD,NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,62.356072,55.4,2.8979,6.1049,10.9825,24.0327,2.0021,0.0,18.0,,
NSH,NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞU,TEFAS,YAT,Serbest Şemsiye Fonu,2.0,2.052814,59.4,3.5309,9.7122,19.8518,46.7317,0.0,0.0,7.0,,
NSK,NEO PORTFÖY BİRİNCİ SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,6.263968,59.6,3.6166,10.5064,20.7727,47.0147,2.5612,4.819,18.0,,
NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,TEFAS,YAT,Katılım Şemsiye Fonu,1.0,1.712237,59.5,3.1559,9.8816,20.5131,48.7521,0.0,0.0,3.0,,
NST,İŞ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,1.207635,50.9,-0.4686,5.3572,18.1014,0.0,0.0,0.0,33.0,,
NSY,NEO PORTFÖY YEDİNCİ SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,3.0,1.365117,52.7,3.5008,7.7542,25.7923,0.0,0.0,0.0,12.0,,
NTI,NEO PORTFÖY TEKNOLOJİ VE İNOVASYON DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,6.0,1.65551,63.3,20.149,33.1048,49.5887,0.0,0.0,0.0,33.0,,
NUB,NUROL PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,57.148335,54.5,1.5347,3.6925,10.4533,24.7013,0.0,0.0,18.0,,
NUH,NEO PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TEFAS,YAT,Hisse Senedi Şemsiye Fonu,6.0,1.312591,53.8,4.4441,11.3564,39.8271,0.0,0.0,0.0,33.0,,
NVB,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,TEFAS,YAT,Para Piyasası Şemsiye Fonu,4.0,4.478938,59.7,3.0749,9.7678,20.7182,50.0617,2.6138,0.0,18.0,,
NVC,NEO PORTFÖY VENTO SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,6.0,4.000717,59.8,2.949,8.0376,34.064,53.7252,2.2703,0.0,33.0,,
NVK,INVEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,44.627743,51.4,1.6785,4.3099,7.2867,0.0,0.0,0.0,18.0,,
NVT,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,4.333907,59.2,3.2348,9.2229,19.326,47.3833,2.5403,0.0,18.0,,
NVZ,NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,55.387278,55.0,1.6655,4.5846,11.9511,26.8014,0.0,0.0,18.0,,
NZH,NEO PORTFÖY İKİNCİ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,4.0,3.298687,58.8,2.5802,9.4738,23.9133,45.4092,107.1916,2.1462,18.0,,
NZT,NEO PORTFÖY PARA PİYASASI SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,2.0,5.635461,59.5,3.1277,9.7186,20.3761,49.1681,2.5695,3.8709,7.0,,
NZU,NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,48.786706,54.7,1.9958,5.0684,9.756,22.6629,0.0,0.0,18.0,,
OBI,OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,TEFAS,YAT,Borçlanma Araçları Şemsiye Fonu,3.0,2.941055,56.3,1.8952,3.4132,15.3442,37.6698,169.5127,0.0,12.0,,
OBP,OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,4.0,0.191184,55.4,-0.2472,0.7264,16.793,40.0945,2.6973,4.9978,18.0,,
ODD,OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,10.285953,57.6,1.3409,5.5823,16.1947,45.225,155.7503,5.1102,18.0,,
ODG,ONE PORTFÖY İKİNCİ DEĞİŞKEN FON,TEFAS,YAT,Değişken Şemsiye Fonu,2.0,1.083895,51.0,2.8831,0.0,0.0,0.0,0.0,0.0,7.0,,
ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,TEFAS,YAT,Serbest Şemsiye Fonu,6.0,6.699686,68.4,11.3649,23.7854,35.7572,74.0831,3.7548,0.0,33.0,,
ODS,OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON,TEFAS,YAT,Serbest Şemsiye Fonu,4.0,66.720761,52.8,0.4418,1.3473,5.5577,17.6863,190.8278,5.7327,18.0,,
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,5.0,19.16876,54.7,-1.0223,-2.6711,18.2755,41.7131,2.7701,6.5655,25.0,,
OFI,OYAK PORTFÖY İKİNCİ FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,4.0,3.817787,57.4,1.2143,4.6343,21.3726,45.6591,2.2107,0.0,18.0,,
OFS,OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU,TEFAS,YAT,Fon Sepeti Şemsiye Fonu,4.0,7.698754,56.9,-0.2032,2.3816,20.1592,48.3331,2.4588,6.3674,18.0,,
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,TEFAS,YAT,Katılım Şemsiye Fonu,6.0,10.629152,55.3,-0.9224,-9.1722,14.744,55.6639,3.8172,10.194,33.0,,
